Model Name,Sampling,Recall_train,Recall_val,F1_val,ROC_AUC_val
Adaboost,Undersampled,1.0,1.0,0.8166666666666667,0.9319054354415034
Adaboost,Oversampled,1.0,0.9795918367346939,0.8067226890756303,0.9385734491816529
GBM,Undersampled,1.0,0.9591836734693877,0.831858407079646,0.9401899373610831
Random forest,Undersampled,1.0,0.9387755102040817,0.8214285714285714,0.9430187916750858
Xgboost,Undersampled,1.0,0.9183673469387755,0.8571428571428571,0.9381693271367952
Random forest,Oversampled,1.0,0.8775510204081632,0.8431372549019608,0.9435239442311577
dtree,Undersampled,1.0,0.8775510204081632,0.8431372549019608,0.8892705597090321
Adaboost,Original,0.8961038961038961,0.8367346938775511,0.8367346938775511,0.9468579511012326
Bagging,Undersampled,0.9956709956709957,0.8367346938775511,0.7961165048543689,0.9386744796928672
GBM,Oversampled,0.9872068230277186,0.7959183673469388,0.8041237113402062,0.9337239846433624
dtree,Oversampled,1.0,0.7959183673469388,0.78,0.8385532430794099
dtree,Original,1.0,0.7346938775510204,0.7422680412371134,0.8079409981814508
GBM,Original,0.9523809523809523,0.7142857142857143,0.7608695652173914,0.925035360678925
Bagging,Original,0.987012987012987,0.6938775510204082,0.723404255319149,0.9075570822388362
Xgboost,Oversampled,1.0,0.673469387755102,0.7096774193548387,0.9145281875126288
Bagging,Oversampled,0.9936034115138592,0.6530612244897959,0.7111111111111111,0.914831279046272
Random forest,Original,1.0,0.6326530612244898,0.7126436781609196,0.937057991513437
Xgboost,Original,1.0,0.6326530612244898,0.6966292134831461,0.9167508587593454
